id,compound_id,food_id,orig_source_id,orig_content,orig_unit,preparation_type,standard_content
221102a4-92a8-11ee-8750-0242ac1c000c,753,1bc414f4-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,other,0.0
221111a4-92a8-11ee-8750-0242ac1c000c,565,1bc414f4-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,other,0.0
22111eec-92a8-11ee-8750-0242ac1c000c,565,1bc414f4-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,other,0.0
22112ebe-92a8-11ee-8750-0242ac1c000c,574,1bc414f4-92a8-11ee-8750-0242ac1c000c,41,0.0,mg/100g,other,0.0
22113bd4-92a8-11ee-8750-0242ac1c000c,753,1bc414f4-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
22114994-92a8-11ee-8750-0242ac1c000c,565,1bc414f4-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,raw,0.0
22115a92-92a8-11ee-8750-0242ac1c000c,565,1bc414f4-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,raw,0.0
2211671c-92a8-11ee-8750-0242ac1c000c,574,1bc414f4-92a8-11ee-8750-0242ac1c000c,41,0.034,mg/100g,raw,0.034
22117374-92a8-11ee-8750-0242ac1c000c,474,1bc414f4-92a8-11ee-8750-0242ac1c000c,238,210.0,mg/100g,raw,210.0
221180ee-92a8-11ee-8750-0242ac1c000c,753,1bae89f4-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
2211c48c-92a8-11ee-8750-0242ac1c000c,565,1bae89f4-92a8-11ee-8750-0242ac1c000c,26,24.0,α-TE,raw,24.0
2211dbd4-92a8-11ee-8750-0242ac1c000c,565,1bae89f4-92a8-11ee-8750-0242ac1c000c,27,24.0,mg/100g,raw,24.0
2211f0ce-92a8-11ee-8750-0242ac1c000c,574,1bae89f4-92a8-11ee-8750-0242ac1c000c,41,0.06,mg/100g,raw,0.06
22120320-92a8-11ee-8750-0242ac1c000c,474,1bae89f4-92a8-11ee-8750-0242ac1c000c,238,670.0,mg/100g,raw,670.0
221216d0-92a8-11ee-8750-0242ac1c000c,556,1bae89f4-92a8-11ee-8750-0242ac1c000c,248,1100.0,mg/100g,raw,1100.0
22122972-92a8-11ee-8750-0242ac1c000c,484,1bae89f4-92a8-11ee-8750-0242ac1c000c,251,1400.0,mg/100g,raw,1400.0
22123be2-92a8-11ee-8750-0242ac1c000c,570,1bae89f4-92a8-11ee-8750-0242ac1c000c,252,1000.0,mg/100g,raw,1000.0
22124d94-92a8-11ee-8750-0242ac1c000c,753,1be1bd74-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,,0.0
22125fb4-92a8-11ee-8750-0242ac1c000c,565,1be1bd74-92a8-11ee-8750-0242ac1c000c,26,0.9,α-TE,,0.9
22127256-92a8-11ee-8750-0242ac1c000c,565,1be1bd74-92a8-11ee-8750-0242ac1c000c,27,0.9,mg/100g,,0.9
2212841c-92a8-11ee-8750-0242ac1c000c,574,1be1bd74-92a8-11ee-8750-0242ac1c000c,41,0.175,mg/100g,,0.175
2212983a-92a8-11ee-8750-0242ac1c000c,474,1be1bd74-92a8-11ee-8750-0242ac1c000c,238,1100.0,mg/100g,,1100.0
2212aa96-92a8-11ee-8750-0242ac1c000c,556,1be1bd74-92a8-11ee-8750-0242ac1c000c,248,770.0,mg/100g,,770.0
2212bd6a-92a8-11ee-8750-0242ac1c000c,484,1be1bd74-92a8-11ee-8750-0242ac1c000c,251,790.0,mg/100g,,790.0
2212cf1c-92a8-11ee-8750-0242ac1c000c,570,1be1bd74-92a8-11ee-8750-0242ac1c000c,252,540.0,mg/100g,,540.0
2212e312-92a8-11ee-8750-0242ac1c000c,753,1ba64ff0-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,,0.0
2212f55a-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,26,0.0,α-TE,,0.0
221307fc-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,27,0.0,mg/100g,,0.0
22131a08-92a8-11ee-8750-0242ac1c000c,574,1ba64ff0-92a8-11ee-8750-0242ac1c000c,41,0.0,mg/100g,,0.0
22132c50-92a8-11ee-8750-0242ac1c000c,474,1ba64ff0-92a8-11ee-8750-0242ac1c000c,238,24.0,mg/100g,,24.0
22137386-92a8-11ee-8750-0242ac1c000c,556,1ba64ff0-92a8-11ee-8750-0242ac1c000c,248,21.0,mg/100g,,21.0
221387ea-92a8-11ee-8750-0242ac1c000c,484,1ba64ff0-92a8-11ee-8750-0242ac1c000c,251,14.0,mg/100g,,14.0
22139b7c-92a8-11ee-8750-0242ac1c000c,570,1ba64ff0-92a8-11ee-8750-0242ac1c000c,252,150.0,mg/100g,,150.0
2213ae46-92a8-11ee-8750-0242ac1c000c,753,1ba64ff0-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,,0.0
2213c160-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,26,0.01,α-TE,,0.01
2213d358-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,27,0.01,mg/100g,,0.01
2213e55a-92a8-11ee-8750-0242ac1c000c,574,1ba64ff0-92a8-11ee-8750-0242ac1c000c,41,0.03,mg/100g,,0.03
2213f9e6-92a8-11ee-8750-0242ac1c000c,474,1ba64ff0-92a8-11ee-8750-0242ac1c000c,238,3.0,mg/100g,,3.0
22140dfa-92a8-11ee-8750-0242ac1c000c,556,1ba64ff0-92a8-11ee-8750-0242ac1c000c,248,3.0,mg/100g,,3.0
221420e2-92a8-11ee-8750-0242ac1c000c,484,1ba64ff0-92a8-11ee-8750-0242ac1c000c,251,2.0,mg/100g,,2.0
22143294-92a8-11ee-8750-0242ac1c000c,570,1ba64ff0-92a8-11ee-8750-0242ac1c000c,252,19.0,mg/100g,,19.0
221446a8-92a8-11ee-8750-0242ac1c000c,753,1ba64ff0-92a8-11ee-8750-0242ac1c000c,11,0.0,mg/100g,raw,0.0
22145882-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,26,0.55,α-TE,raw,0.55
22146bc4-92a8-11ee-8750-0242ac1c000c,565,1ba64ff0-92a8-11ee-8750-0242ac1c000c,27,0.55,mg/100g,raw,0.55
