id,name,name_scientific,wikipedia_id,food_group,food_subgroup,food_type,culinarydb_ingredient_id,foodb_id
1b9f11a4-92a8-11ee-8750-0242ac1c000c,Rye bread,,Rye_bread,Cereals and cereal products,Leavened breads,Type 2,3,837
1b9f4598-92a8-11ee-8750-0242ac1c000c,Wheat bread,,Wheat_bread,Cereals and cereal products,Leavened breads,Type 2,4,836
1b9f74d2-92a8-11ee-8750-0242ac1c000c,White bread,,,Cereals and cereal products,Cereals,Type 1,5,1019
1b9fa2cc-92a8-11ee-8750-0242ac1c000c,Whole wheat bread,,,Cereals and cereal products,Cereals,Type 1,6,986
1b9fd062-92a8-11ee-8750-0242ac1c000c,Beer,,Beer,Beverages,Fermented beverages,Type 2,9,268
1ba00172-92a8-11ee-8750-0242ac1c000c,Gin,,Gin,Beverages,Distilled beverages,Type 2,23,642
1ba03494-92a8-11ee-8750-0242ac1c000c,Rum,,Rum,Beverages,Distilled beverages,Type 2,24,646
1ba06860-92a8-11ee-8750-0242ac1c000c,Whisky,,Whisky,Beverages,Distilled beverages,Type 2,25,640
1ba09a88-92a8-11ee-8750-0242ac1c000c,Conch,Strombidae,Conch,Aquatic foods,Mollusks,Type 1,31,625
1ba0c8fa-92a8-11ee-8750-0242ac1c000c,Port wine,,Port_wine,Beverages,Fortified wines,Type 2,38,647
1ba0e966-92a8-11ee-8750-0242ac1c000c,Red wine,,,Beverages,Fermented beverages,Type 2,39,943
1ba10824-92a8-11ee-8750-0242ac1c000c,Rosé wine,,,Beverages,Fermented beverages,Type 2,40,952
1ba12840-92a8-11ee-8750-0242ac1c000c,Sake,,Sake,Beverages,Fermented beverages,Type 2,41,763
1ba146ea-92a8-11ee-8750-0242ac1c000c,Sherry,,Sherry,Beverages,Fortified wines,Type 2,42,649
1ba16558-92a8-11ee-8750-0242ac1c000c,White wine,,,Beverages,Fermented beverages,Type 2,45,949
1ba1816e-92a8-11ee-8750-0242ac1c000c,Coffee,Coffea,Coffee,Coffee and coffee products,Coffee,Type 1,46,58
1ba19f3c-92a8-11ee-8750-0242ac1c000c,Mate,Ilex paraguariensis,,Herbs and Spices,Herbs,Type 1,47,948
1ba1bc60-92a8-11ee-8750-0242ac1c000c,Black tea,,,Teas,Teas,Type 1,48,939
1ba1da4c-92a8-11ee-8750-0242ac1c000c,Green tea,,,Teas,Teas,Type 1,49,940
1ba1f5cc-92a8-11ee-8750-0242ac1c000c,Barley,Hordeum vulgare,Barley,Cereals and cereal products,Cereals,Type 1,51,88
1ba21250-92a8-11ee-8750-0242ac1c000c,Crisp bread,,Crisp_bread,Cereals and cereal products,Flat breads,Type 2,52,659
1ba22f1a-92a8-11ee-8750-0242ac1c000c,Salt,,Salt,Baking goods,Seasonings,Type 2,53,666
1ba24b9e-92a8-11ee-8750-0242ac1c000c,Oat,Avena sativa,Oat,Cereals and cereal products,Cereals,Type 1,54,22
1ba266d8-92a8-11ee-8750-0242ac1c000c,Rice,Oryza sativa,Rice,Cereals and cereal products,Cereals,Type 1,55,125
1ba28406-92a8-11ee-8750-0242ac1c000c,Corn,Zea mays,Corn,Cereals and cereal products,Cereals,Type 1,56,205
1ba29f9a-92a8-11ee-8750-0242ac1c000c,Corn oil,,,Herbs and Spices,Oilseed crops,Type 2,57,976
1ba2ba16-92a8-11ee-8750-0242ac1c000c,Popcorn,,Popcorn,Snack foods,Snack foods,Type 2,58,744
1ba2d5aa-92a8-11ee-8750-0242ac1c000c,Butter,,Butter,Milk and milk products,Other milk products,Type 2,60,667
1ba323d4-92a8-11ee-8750-0242ac1c000c,Buttermilk,,Buttermilk,Milk and milk products,Fermented milks,Type 2,61,714
1ba34bde-92a8-11ee-8750-0242ac1c000c,Cheese,,Cheese,Milk and milk products,Fermented milk products,Type 2,62,631
1ba36b64-92a8-11ee-8750-0242ac1c000c,Blue cheese,,,Milk and milk products,Fermented milk products,Type 2,63,983
1ba389aa-92a8-11ee-8750-0242ac1c000c,Cheddar Cheese,Cheddar Cheese,,Milk and milk products,Fermented milk products,Type 2,65,967
1ba3a994-92a8-11ee-8750-0242ac1c000c,Cottage cheese,,,Milk and milk products,Fermented milk products,Type 2,67,982
1ba3d752-92a8-11ee-8750-0242ac1c000c,Mozzarella cheese,,,Milk and milk products,Fermented milk products,Type 2,75,965
1ba40cae-92a8-11ee-8750-0242ac1c000c,Parmesan cheese,,,Milk and milk products,Fermented milk products,Type 2,78,968
1ba42ed2-92a8-11ee-8750-0242ac1c000c,Swiss cheese,,,Milk and milk products,Fermented milk products,Type 2,84,981
1ba45286-92a8-11ee-8750-0242ac1c000c,Yogurt,,,Milk and milk products,Fermented milk products,Type 2,94,634
1ba4728e-92a8-11ee-8750-0242ac1c000c,Medlar,Mespilus germanica,Medlar,Fruits,Pomes,Type 1,101,114
1ba48eea-92a8-11ee-8750-0242ac1c000c,Lemon grass,Cymbopogon citratus,Cymbopogon citratus,Herbs and Spices,Herbs,Type 1,113,70
1ba4aede-92a8-11ee-8750-0242ac1c000c,Lovage,Levisticum officinale,Lovage,Herbs and Spices,Herbs,Type 1,116,100
1ba4cd7e-92a8-11ee-8750-0242ac1c000c,Clam,,,Aquatic foods,Bivalvia,Type 1,134,984
1ba5146e-92a8-11ee-8750-0242ac1c000c,Crab,Brachyura,Crab,Aquatic foods,Crustaceans,Type 1,135,587
